track	rate_downloads_total	rate_listened_total	playlisted	favorited	likes	dislikes	avgnote	notes
146602	541	3077	24	9	0	0	0.0	0
1125387	1667	3076	7	3	2	0	0.0	0
1164981	2329	3075	13	7	1	0	0.0	0
1166108	1269	3073	10	4	0	0	2.6667	3
956542	249	3073	4	2	0	0	0.0	0
200577	2032	3073	8	6	0	0	0.0	0
1195414	2108	3073	3	1	0	0	0.0	0
1107272	279	3072	11	5	1	0	0.0	0
1122005	693	3071	10	3	1	0	0.0	0
1033259	1709	3071	12	5	0	0	6.0	1
1194539	1072	3069	15	12	2	0	0.0	0
373165	318	3068	15	10	0	0	0.0	0
543401	2151	3068	17	8	0	0	0.0	0
1133081	1069	3065	13	4	0	0	0.0	0
1166101	1491	3062	11	5	0	0	0.0	0
1078616	441	3061	11	4	1	0	0.0	0
1187967	2231	3060	14	5	0	0	0.0	0
1154905	392	3060	10	8	0	0	0.0	0
1187971	1161	3059	10	3	0	0	0.0	0
1136144	1309	3058	28	13	2	0	0.0	0
1167650	2163	3057	24	13	1	0	0.0	0
1113026	1577	3056	1	0	0	0	0.0	0
1047957	340	3054	51	40	2	0	10.0	1
1310023	787	3053	5	2	0	0	0.0	0
37233	436	3052	30	15	0	0	0.0	0
1388883	2896	3046	23	12	0	0	0.0	0
976776	741	3042	15	7	0	0	0.0	0
942722	1902	3042	8	4	0	0	4.0	1
208293	2738	3039	18	12	0	0	0.0	0
1041557	4070	3038	3	0	0	0	0.0	0
1350140	1048	3038	6	3	0	0	0.0	0
439693	415	3037	48	30	0	0	5.0	2
